,header_tokens,msg_tokens
0,"['[', '2020-03-11', ' ', '10:11:07,562', ']', ' ', 'INFO']","[' ', 'Registered', ' ', 'kafka', ':', 'type', '=', 'kafka.Log4jController', ' ', 'MBean', ' ', '(', 'kafka.utils.Log4jControllerRegistration', '$', ')']"
1,"['[', '2020-03-11', ' ', '10:11:07,990', ']', ' ', 'INFO']","[' ', 'starting', ' ', '(', 'kafka.server.KafkaServer', ')']"
2,"['[', '2020-03-11', ' ', '10:11:07,991', ']', ' ', 'INFO']","[' ', 'Connecting', ' ', 'to', ' ', 'zookeeper', ' ', 'on', ' ', 'tsb-hw-prod-ckkafka1:2181', ',', 'tsb-hw-prod-ckkafka2:2181', ',', 'tsb-hw-prod-ckkafka3:2181', ' ', '(', 'kafka.server.KafkaServer', ')']"
3,"['[', '2020-03-11', ' ', '10:11:08,009', ']', ' ', 'INFO']","[' ', '[', 'ZooKeeperClient', ']', ' ', 'Initializing', ' ', 'a', ' ', 'new', ' ', 'session', ' ', 'to', ' ', 'tsb-hw-prod-ckkafka1:2181', ',', 'tsb-hw-prod-ckkafka2:2181', ',', 'tsb-hw-prod-ckkafka3:2181', '.', ' ', '(', 'kafka.zookeeper.ZooKeeperClient', ')']"
4,"['[', '2020-03-11', ' ', '10:11:08,013', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'zookeeper.version', '=', '3.4.13-2d71af4dbe22557fda74f9a9b4309b15a7487f03', ',', ' ', 'built', ' ', 'on', ' ', '06/29/2018', ' ', '00:39', ' ', 'GMT', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
5,"['[', '2020-03-11', ' ', '10:11:08,013', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'host.name', '=', 'tsb-hw-prod-ckkafka1', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
6,"['[', '2020-03-11', ' ', '10:11:08,013', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'java.version', '=', '1.8.0_152', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
7,"['[', '2020-03-11', ' ', '10:11:08,013', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'java.vendor', '=', 'Oracle', ' ', 'Corporation', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
8,"['[', '2020-03-11', ' ', '10:11:08,013', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'java.home', '=', '/data/app/jdk1.8/jre', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
9,"['[', '2020-03-11', ' ', '10:11:08,013', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'java.class.path', '=', '.:/data/app/jdk1.8/lib/dt.jar', ':', '/data/app/jdk1.8/lib/tools.jar', ':', '/data/app/kafka/bin/../libs/activation-1.1.1.jar', ':', '/data/app/kafka/bin/../libs/aopalliance-repackaged-2.5.0-b42.jar', ':', '/data/app/kafka/bin/../libs/argparse4j-0.7.0.jar', ':', '/data/app/kafka/bin/../libs/audience-annotations-0.5.0.jar', ':', '/data/app/kafka/bin/../libs/commons-lang3-3.8.1.jar', ':', '/data/app/kafka/bin/../libs/connect-api-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/connect-basic-auth-extension-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/connect-file-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/connect-json-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/connect-runtime-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/connect-transforms-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/guava-20.0.jar', ':', '/data/app/kafka/bin/../libs/hk2-api-2.5.0-b42.jar', ':', '/data/app/kafka/bin/../libs/hk2-locator-2.5.0-b42.jar', ':', '/data/app/kafka/bin/../libs/hk2-utils-2.5.0-b42.jar', ':', '/data/app/kafka/bin/../libs/jackson-annotations-2.9.8.jar', ':', '/data/app/kafka/bin/../libs/jackson-core-2.9.8.jar', ':', '/data/app/kafka/bin/../libs/jackson-databind-2.9.8.jar', ':', '/data/app/kafka/bin/../libs/jackson-datatype-jdk8-2.9.8.jar', ':', '/data/app/kafka/bin/../libs/jackson-jaxrs-base-2.9.8.jar', ':', '/data/app/kafka/bin/../libs/jackson-jaxrs-json-provider-2.9.8.jar', ':', '/data/app/kafka/bin/../libs/jackson-module-jaxb-annotations-2.9.8.jar', ':', '/data/app/kafka/bin/../libs/javassist-3.22.0-CR2.jar', ':', '/data/app/kafka/bin/../libs/javax.annotation-api-1.2.jar', ':', '/data/app/kafka/bin/../libs/javax.inject-1.jar', ':', '/data/app/kafka/bin/../libs/javax.inject-2.5.0-b42.jar', ':', '/data/app/kafka/bin/../libs/javax.servlet-api-3.1.0.jar', ':', '/data/app/kafka/bin/../libs/javax.ws.rs-api-2.1.1.jar', ':', '/data/app/kafka/bin/../libs/javax.ws.rs-api-2.1.jar', ':', '/data/app/kafka/bin/../libs/jaxb-api-2.3.0.jar', ':', '/data/app/kafka/bin/../libs/jersey-client-2.27.jar', ':', '/data/app/kafka/bin/../libs/jersey-common-2.27.jar', ':', '/data/app/kafka/bin/../libs/jersey-container-servlet-2.27.jar', ':', '/data/app/kafka/bin/../libs/jersey-container-servlet-core-2.27.jar', ':', '/data/app/kafka/bin/../libs/jersey-hk2-2.27.jar', ':', '/data/app/kafka/bin/../libs/jersey-media-jaxb-2.27.jar', ':', '/data/app/kafka/bin/../libs/jersey-server-2.27.jar', ':', '/data/app/kafka/bin/../libs/jetty-client-9.4.14.v20181114.jar', ':', '/data/app/kafka/bin/../libs/jetty-continuation-9.4.14.v20181114.jar', ':', '/data/app/kafka/bin/../libs/jetty-http-9.4.14.v20181114.jar', ':', '/data/app/kafka/bin/../libs/jetty-io-9.4.14.v20181114.jar', ':', '/data/app/kafka/bin/../libs/jetty-security-9.4.14.v20181114.jar', ':', '/data/app/kafka/bin/../libs/jetty-server-9.4.14.v20181114.jar', ':', '/data/app/kafka/bin/../libs/jetty-servlet-9.4.14.v20181114.jar', ':', '/data/app/kafka/bin/../libs/jetty-servlets-9.4.14.v20181114.jar', ':', '/data/app/kafka/bin/../libs/jetty-util-9.4.14.v20181114.jar', ':', '/data/app/kafka/bin/../libs/jopt-simple-5.0.4.jar', ':', '/data/app/kafka/bin/../libs/kafka_2.12-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/kafka_2.12-2.2.1-sources.jar', ':', '/data/app/kafka/bin/../libs/kafka-clients-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/kafka-log4j-appender-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/kafka-streams-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/kafka-streams-examples-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/kafka-streams-scala_2.12-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/kafka-streams-test-utils-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/kafka-tools-2.2.1.jar', ':', '/data/app/kafka/bin/../libs/log4j-1.2.17.jar', ':', '/data/app/kafka/bin/../libs/lz4-java-1.5.0.jar', ':', '/data/app/kafka/bin/../libs/maven-artifact-3.6.0.jar', ':', '/data/app/kafka/bin/../libs/metrics-core-2.2.0.jar', ':', '/data/app/kafka/bin/../libs/osgi-resource-locator-1.0.1.jar', ':', '/data/app/kafka/bin/../libs/plexus-utils-3.1.0.jar', ':', '/data/app/kafka/bin/../libs/reflections-0.9.11.jar', ':', '/data/app/kafka/bin/../libs/rocksdbjni-5.15.10.jar', ':', '/data/app/kafka/bin/../libs/scala-library-2.12.8.jar', ':', '/data/app/kafka/bin/../libs/scala-logging_2.12-3.9.0.jar', ':', '/data/app/kafka/bin/../libs/scala-reflect-2.12.8.jar', ':', '/data/app/kafka/bin/../libs/slf4j-api-1.7.25.jar', ':', '/data/app/kafka/bin/../libs/slf4j-log4j12-1.7.25.jar', ':', '/data/app/kafka/bin/../libs/snappy-java-1.1.7.2.jar', ':', '/data/app/kafka/bin/../libs/validation-api-1.1.0.Final.jar', ':', '/data/app/kafka/bin/../libs/zkclient-0.11.jar', ':', '/data/app/kafka/bin/../libs/zookeeper-3.4.13.jar', ':', '/data/app/kafka/bin/../libs/zstd-jni-1.3.8-1.jar', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
10,"['[', '2020-03-11', ' ', '10:11:08,014', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'java.library.path', '=', '/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib', ':', '/usr/lib', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
11,"['[', '2020-03-11', ' ', '10:11:08,014', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'java.io.tmpdir', '=', '/tmp', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
12,"['[', '2020-03-11', ' ', '10:11:08,014', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'java.compiler', '=', '<', 'NA', '>', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
13,"['[', '2020-03-11', ' ', '10:11:08,014', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'os.name', '=', 'Linux', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
14,"['[', '2020-03-11', ' ', '10:11:08,014', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'os.arch', '=', 'amd64', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
15,"['[', '2020-03-11', ' ', '10:11:08,014', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'os.version', '=', '3.10.0-862.14.4.el7.x86_64', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
16,"['[', '2020-03-11', ' ', '10:11:08,014', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'user.name', '=', 'root', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
17,"['[', '2020-03-11', ' ', '10:11:08,014', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'user.home', '=', '/root', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
18,"['[', '2020-03-11', ' ', '10:11:08,014', ']', ' ', 'INFO']","[' ', 'Client', ' ', 'environment', ':', 'user.dir', '=', '/data/app', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
19,"['[', '2020-03-11', ' ', '10:11:08,015', ']', ' ', 'INFO']","[' ', 'Initiating', ' ', 'client', ' ', 'connection', ',', ' ', 'connectString', '=', 'tsb-hw-prod-ckkafka1:2181', ',', 'tsb-hw-prod-ckkafka2:2181', ',', 'tsb-hw-prod-ckkafka3:2181', ' ', 'sessionTimeout', '=', '6000', ' ', 'watcher', '=', 'kafka.zookeeper.ZooKeeperClient', '$', 'ZooKeeperClientWatcher', '$', '@', '6e4784bc', ' ', '(', 'org.apache.zookeeper.ZooKeeper', ')']"
20,"['[', '2020-03-11', ' ', '10:11:08,025', ']', ' ', 'INFO']","[' ', '[', 'ZooKeeperClient', ']', ' ', 'Waiting', ' ', 'until', ' ', 'connected', '.', ' ', '(', 'kafka.zookeeper.ZooKeeperClient', ')']"
21,"['[', '2020-03-11', ' ', '10:11:08,026', ']', ' ', 'INFO']","[' ', 'Opening', ' ', 'socket', ' ', 'connection', ' ', 'to', ' ', 'server', ' ', 'tsb-hw-prod-ckkafka2/10.20.3.197:2181', '.', ' ', 'Will', ' ', 'not', ' ', 'attempt', ' ', 'to', ' ', 'authenticate', ' ', 'using', ' ', 'SASL', ' ', '(', 'unknown', ' ', 'error', ')', ' ', '(', 'org.apache.zookeeper.ClientCnxn', ')']"
22,"['[', '2020-03-11', ' ', '10:11:08,029', ']', ' ', 'INFO']","[' ', 'Socket', ' ', 'connection', ' ', 'established', ' ', 'to', ' ', 'tsb-hw-prod-ckkafka2/10.20.3.197:2181', ',', ' ', 'initiating', ' ', 'session', ' ', '(', 'org.apache.zookeeper.ClientCnxn', ')']"
23,"['[', '2020-03-11', ' ', '10:11:08,035', ']', ' ', 'INFO']","[' ', 'Session', ' ', 'establishment', ' ', 'complete', ' ', 'on', ' ', 'server', ' ', 'tsb-hw-prod-ckkafka2/10.20.3.197:2181', ',', ' ', 'sessionid', ' ', '=', ' ', '0x200015550d70039', ',', ' ', 'negotiated', ' ', 'timeout', ' ', '=', ' ', '6000', ' ', '(', 'org.apache.zookeeper.ClientCnxn', ')']"
24,"['[', '2020-03-11', ' ', '10:11:08,037', ']', ' ', 'INFO']","[' ', '[', 'ZooKeeperClient', ']', ' ', 'Connected', '.', ' ', '(', 'kafka.zookeeper.ZooKeeperClient', ')']"
25,"['[', '2020-03-11', ' ', '10:11:08,220', ']', ' ', 'INFO']","[' ', 'Cluster', ' ', 'ID', ' ', '=', ' ', 'RGFnXCh3RM6nZ17IBzBbSQ', ' ', '(', 'kafka.server.KafkaServer', ')']"
26,"['[', '2020-03-11', ' ', '10:11:08,297', ']', ' ', 'INFO']","[' ', 'KafkaConfig', ' ', 'values', ':', ' ']"
27,"['[', '2020-03-11', ' ', '10:11:08,305', ']', ' ', 'INFO']","[' ', 'KafkaConfig', ' ', 'values', ':', ' ']"
28,"['[', '2020-03-11', ' ', '10:11:08,326', ']', ' ', 'INFO']","[' ', '[', 'ThrottledChannelReaper-Fetch', ']', ':', ' ', 'Starting', ' ', '(', 'kafka.server.ClientQuotaManager', '$', 'ThrottledChannelReaper', ')']"
29,"['[', '2020-03-11', ' ', '10:11:08,329', ']', ' ', 'INFO']","[' ', '[', 'ThrottledChannelReaper-Produce', ']', ':', ' ', 'Starting', ' ', '(', 'kafka.server.ClientQuotaManager', '$', 'ThrottledChannelReaper', ')']"
30,"['[', '2020-03-11', ' ', '10:11:08,330', ']', ' ', 'INFO']","[' ', '[', 'ThrottledChannelReaper-Request', ']', ':', ' ', 'Starting', ' ', '(', 'kafka.server.ClientQuotaManager', '$', 'ThrottledChannelReaper', ')']"
31,"['[', '2020-03-11', ' ', '10:11:08,372', ']', ' ', 'INFO']","[' ', 'Loading', ' ', 'logs', '.', ' ', '(', 'kafka.log.LogManager', ')']"
32,"['[', '2020-03-11', ' ', '10:11:08,437', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-34', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'till', ' ', 'offset', ' ', '0', ' ', 'with', ' ', 'message', ' ', 'format', ' ', 'version', ' ', '2', ' ', '(', 'kafka.log.Log', ')']"
33,"['[', '2020-03-11', ' ', '10:11:08,446', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-34', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Completed', ' ', 'load', ' ', 'of', ' ', 'log', ' ', 'with', ' ', '1', ' ', 'segments', ',', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', '0', ' ', 'and', ' ', 'log', ' ', 'end', ' ', 'offset', ' ', '0', ' ', 'in', ' ', '51', ' ', 'ms', ' ', '(', 'kafka.log.Log', ')']"
34,"['[', '2020-03-11', ' ', '10:11:08,454', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-4', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'till', ' ', 'offset', ' ', '0', ' ', 'with', ' ', 'message', ' ', 'format', ' ', 'version', ' ', '2', ' ', '(', 'kafka.log.Log', ')']"
35,"['[', '2020-03-11', ' ', '10:11:08,454', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-4', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Completed', ' ', 'load', ' ', 'of', ' ', 'log', ' ', 'with', ' ', '1', ' ', 'segments', ',', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', '0', ' ', 'and', ' ', 'log', ' ', 'end', ' ', 'offset', ' ', '0', ' ', 'in', ' ', '1', ' ', 'ms', ' ', '(', 'kafka.log.Log', ')']"
36,"['[', '2020-03-11', ' ', '10:11:08,472', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'hostAgentTopic-6', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'till', ' ', 'offset', ' ', '657623', ' ', 'with', ' ', 'message', ' ', 'format', ' ', 'version', ' ', '2', ' ', '(', 'kafka.log.Log', ')']"
37,"['[', '2020-03-11', ' ', '10:11:08,476', ']', ' ', 'INFO']","[' ', '[', 'ProducerStateManager', ' ', 'partition', '=', 'hostAgentTopic-6', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'from', ' ', 'snapshot', ' ', 'file', ' ', ""'"", '/data/appData/kafka/hostAgentTopic-6/00000000000000657623.snapshot', ""'"", ' ', '(', 'kafka.log.ProducerStateManager', ')']"
38,"['[', '2020-03-11', ' ', '10:11:08,486', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'hostAgentTopic-6', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Completed', ' ', 'load', ' ', 'of', ' ', 'log', ' ', 'with', ' ', '2', ' ', 'segments', ',', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', '652326', ' ', 'and', ' ', 'log', ' ', 'end', ' ', 'offset', ' ', '657623', ' ', 'in', ' ', '30', ' ', 'ms', ' ', '(', 'kafka.log.Log', ')']"
39,"['[', '2020-03-11', ' ', '10:11:08,490', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-44', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'till', ' ', 'offset', ' ', '0', ' ', 'with', ' ', 'message', ' ', 'format', ' ', 'version', ' ', '2', ' ', '(', 'kafka.log.Log', ')']"
40,"['[', '2020-03-11', ' ', '10:11:08,490', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-44', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Completed', ' ', 'load', ' ', 'of', ' ', 'log', ' ', 'with', ' ', '1', ' ', 'segments', ',', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', '0', ' ', 'and', ' ', 'log', ' ', 'end', ' ', 'offset', ' ', '0', ' ', 'in', ' ', '1', ' ', 'ms', ' ', '(', 'kafka.log.Log', ')']"
41,"['[', '2020-03-11', ' ', '10:11:08,498', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'phpAgentTopic-11', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'till', ' ', 'offset', ' ', '91520', ' ', 'with', ' ', 'message', ' ', 'format', ' ', 'version', ' ', '2', ' ', '(', 'kafka.log.Log', ')']"
42,"['[', '2020-03-11', ' ', '10:11:08,498', ']', ' ', 'INFO']","[' ', '[', 'ProducerStateManager', ' ', 'partition', '=', 'phpAgentTopic-11', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'from', ' ', 'snapshot', ' ', 'file', ' ', ""'"", '/data/appData/kafka/phpAgentTopic-11/00000000000000091520.snapshot', ""'"", ' ', '(', 'kafka.log.ProducerStateManager', ')']"
43,"['[', '2020-03-11', ' ', '10:11:08,499', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'phpAgentTopic-11', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Completed', ' ', 'load', ' ', 'of', ' ', 'log', ' ', 'with', ' ', '1', ' ', 'segments', ',', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', '88482', ' ', 'and', ' ', 'log', ' ', 'end', ' ', 'offset', ' ', '91520', ' ', 'in', ' ', '7', ' ', 'ms', ' ', '(', 'kafka.log.Log', ')']"
44,"['[', '2020-03-11', ' ', '10:11:08,512', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'mobileAgentTopic-19', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'till', ' ', 'offset', ' ', '320120346', ' ', 'with', ' ', 'message', ' ', 'format', ' ', 'version', ' ', '2', ' ', '(', 'kafka.log.Log', ')']"
45,"['[', '2020-03-11', ' ', '10:11:08,512', ']', ' ', 'INFO']","[' ', '[', 'ProducerStateManager', ' ', 'partition', '=', 'mobileAgentTopic-19', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'from', ' ', 'snapshot', ' ', 'file', ' ', ""'"", '/data/appData/kafka/mobileAgentTopic-19/00000000000320120346.snapshot', ""'"", ' ', '(', 'kafka.log.ProducerStateManager', ')']"
46,"['[', '2020-03-11', ' ', '10:11:08,513', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'mobileAgentTopic-19', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Completed', ' ', 'load', ' ', 'of', ' ', 'log', ' ', 'with', ' ', '2', ' ', 'segments', ',', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', '318936842', ' ', 'and', ' ', 'log', ' ', 'end', ' ', 'offset', ' ', '320120346', ' ', 'in', ' ', '13', ' ', 'ms', ' ', '(', 'kafka.log.Log', ')']"
47,"['[', '2020-03-11', ' ', '10:11:08,525', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-5', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'till', ' ', 'offset', ' ', '27', ' ', 'with', ' ', 'message', ' ', 'format', ' ', 'version', ' ', '2', ' ', '(', 'kafka.log.Log', ')']"
48,"['[', '2020-03-11', ' ', '10:11:08,525', ']', ' ', 'INFO']","[' ', '[', 'ProducerStateManager', ' ', 'partition', '=', '__consumer_offsets-5', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'from', ' ', 'snapshot', ' ', 'file', ' ', ""'"", '/data/appData/kafka/__consumer_offsets-5/00000000000000000027.snapshot', ""'"", ' ', '(', 'kafka.log.ProducerStateManager', ')']"
49,"['[', '2020-03-11', ' ', '10:11:08,526', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-5', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Completed', ' ', 'load', ' ', 'of', ' ', 'log', ' ', 'with', ' ', '2', ' ', 'segments', ',', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', '0', ' ', 'and', ' ', 'log', ' ', 'end', ' ', 'offset', ' ', '27', ' ', 'in', ' ', '11', ' ', 'ms', ' ', '(', 'kafka.log.Log', ')']"
50,"['[', '2020-03-11', ' ', '10:11:08,531', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'dcAgentTopic-0', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'till', ' ', 'offset', ' ', '915', ' ', 'with', ' ', 'message', ' ', 'format', ' ', 'version', ' ', '2', ' ', '(', 'kafka.log.Log', ')']"
51,"['[', '2020-03-11', ' ', '10:11:08,532', ']', ' ', 'INFO']","[' ', '[', 'ProducerStateManager', ' ', 'partition', '=', 'dcAgentTopic-0', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'from', ' ', 'snapshot', ' ', 'file', ' ', ""'"", '/data/appData/kafka/dcAgentTopic-0/00000000000000000915.snapshot', ""'"", ' ', '(', 'kafka.log.ProducerStateManager', ')']"
52,"['[', '2020-03-11', ' ', '10:11:08,532', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'dcAgentTopic-0', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Completed', ' ', 'load', ' ', 'of', ' ', 'log', ' ', 'with', ' ', '1', ' ', 'segments', ',', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', '885', ' ', 'and', ' ', 'log', ' ', 'end', ' ', 'offset', ' ', '915', ' ', 'in', ' ', '5', ' ', 'ms', ' ', '(', 'kafka.log.Log', ')']"
53,"['[', '2020-03-11', ' ', '10:11:08,537', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'dcAgentTopic-9', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'till', ' ', 'offset', ' ', '905', ' ', 'with', ' ', 'message', ' ', 'format', ' ', 'version', ' ', '2', ' ', '(', 'kafka.log.Log', ')']"
54,"['[', '2020-03-11', ' ', '10:11:08,538', ']', ' ', 'INFO']","[' ', '[', 'ProducerStateManager', ' ', 'partition', '=', 'dcAgentTopic-9', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'from', ' ', 'snapshot', ' ', 'file', ' ', ""'"", '/data/appData/kafka/dcAgentTopic-9/00000000000000000905.snapshot', ""'"", ' ', '(', 'kafka.log.ProducerStateManager', ')']"
55,"['[', '2020-03-11', ' ', '10:11:08,538', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'dcAgentTopic-9', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Completed', ' ', 'load', ' ', 'of', ' ', 'log', ' ', 'with', ' ', '1', ' ', 'segments', ',', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', '876', ' ', 'and', ' ', 'log', ' ', 'end', ' ', 'offset', ' ', '905', ' ', 'in', ' ', '4', ' ', 'ms', ' ', '(', 'kafka.log.Log', ')']"
56,"['[', '2020-03-11', ' ', '10:11:08,548', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'mobileAgentTopic-2', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'till', ' ', 'offset', ' ', '320510452', ' ', 'with', ' ', 'message', ' ', 'format', ' ', 'version', ' ', '2', ' ', '(', 'kafka.log.Log', ')']"
57,"['[', '2020-03-11', ' ', '10:11:08,548', ']', ' ', 'INFO']","[' ', '[', 'ProducerStateManager', ' ', 'partition', '=', 'mobileAgentTopic-2', ']', ' ', 'Loading', ' ', 'producer', ' ', 'state', ' ', 'from', ' ', 'snapshot', ' ', 'file', ' ', ""'"", '/data/appData/kafka/mobileAgentTopic-2/00000000000320510452.snapshot', ""'"", ' ', '(', 'kafka.log.ProducerStateManager', ')']"
58,"['[', '2020-03-11', ' ', '10:11:08,549', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'mobileAgentTopic-2', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Completed', ' ', 'load', ' ', 'of', ' ', 'log', ' ', 'with', ' ', '2', ' ', 'segments', ',', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', '319225273', ' ', 'and', ' ', 'log', ' ', 'end', ' ', 'offset', ' ', '320510452', ' ', 'in', ' ', '10', ' ', 'ms', ' ', '(', 'kafka.log.Log', ')']"
